107	JAMON CINTA AZUL PAVO AHUMADO 250 00 g  0
108	QUESO KRAFT RALLADO 226 00 g  0
109	PALOMITA JACKS MANTEQUILLA 85 00 g  0
110	PALOMITA JACKS CARAMELO 85 00 g  0
111	DULCE NM DULSUR ATADO 1unid 1 00 unid  0
112	LECHE CORONADO NUTRITIVA 3PACK  3000 00 ml  0
113	ARROZ SABANERO 99  1800 00 g  0
115	GALLETA ARTESANAS MANTEQUILLA 300 00 g  0
116	TORTILLA MILPA REAL TOSTADA PLANA 175 00 g  0
117	KETCHUP KERNS 0 995 00 g  0
118	SALSA PREGO ALBAHACA AJO 680 00 g  0
119	SALSA LIZANO INGLESA 1000 00 ml  0
120	SALSITA BANQUETE SURTIDAS 4PACK 360 00 g  0
121	LECHE LA LECHERA CONDENSADA 395 00 g  0
122	PAPRIKA BADIA 0 56 00 g  0
123	GARBANZO CALVO 0 307 00 g  0
125	HONGOS CALVO 0 113 00 g  0
126	SARDINA MADRIGAL ACEITE OLIVA 88 00 g  0
127	CALAMAR PAY PAY TROZOS SALSA AMERICANA 3UN 80 00 g
128	CALAMAR PAY PAY TROZOS EN TINTA 3UN 80 00 g  0
129	ADEREZO MCCORMICK ITALIANO 273 00 ml  0
130	MAIZ DULCE RICHLY 0 149 00 g  0
131	GINEBRA TANQUERAY LONDON DRY 750 00 ml  1
132	PAN OROWEAT MULTI GRANO 680 00 g  0
133	NUECES BEST MARK SALADA FRASCO    907 00 g  0
134	TROCITOS DE POLLO HIERBAS KG
135	PEZU A TERRABA DE CERDO 1 00 kg  0
137	POLLO TROZO MIXTO MARINADO kg
138	MAIZ DULCE BEST MARK LATA 110 00 g  0
139	HONGOS BEST  MARK REBANADOS 110 00 g  0
140	ADER  ALOLIVO ITALIANO 240 00 g  0
141	ATUN CALVO TROZOS 2PACK 160 00 g  0
142	ACEITE ROMA GIRASOL 1000 00 ml
144	CEPILLO DE DIENTES COLGATE KIT PORTABLE 1 00 unid
145	KIT NM SEGURIDAD VEHICULO 1 00 unid  0
146	ESTUCHE NM P CEPILLO DENTAL 2 00 unid  0
147	AROMATIZANTE LITTLE TREES NEW CARD 1 00 unid  0
148	REFRESCO  CANADA DRY GINGER ALE 2 50 l  0
151	PAN  OROWEAT AVENA  680 00 G  0
153	PAPAS TOSTADAS UGLIES SAL MARINA 171 00 G  0
154	PAPAS TOSTADAS UGLIES CHEDDAR Y NATILLA 330 00 ml
155	ARROZ HALCON 99  1 80 kg  0
156	FRIJOL SABANERO NEGRO 800 00 G  0
157	TORTILLA DEL FOGON  560 00 G  0
158	LECHE DOS PINOS ENTERA ROJA 1 00 l  1
159	SALSA NATURAS ITALIANA CLASICA 385 00 G  0
160	JUGO DOS PINOS NARANJA ZANAHORIA 1 80 l  1
162	HONGOS TO OS TROZOS 190 00 G  0
164	ACHIOTE LOS PATITOS TAZA 210 00 G  0
165	QUESO DOS PINOS IN LINE 192 00 G  1
166	PI A HORTI PRIMERA 1 00 unid  0
167	QUESO MONTERICO CHEDDAR 227 00 G  0
168	QUESO MONTE VERDE MOZZARELLA RALLADO 227 00 G  0
169	NATILLA DOS PINOS LA GRANJA CON SAL 500 00 G  1
170	PECHUGA DIETZ   WATSON PAVO REBANADO 450 00 G  0
171	TOCINETA FARMLAND BAJO EN SODIO 340 00 G  0
172	TOCINETA HORMEL REBANADA 340 00 G  0
173	SALAMI HISPANOTICA EXTRA 100 00 G  0
174	ZUQUINI GRANDE unid
175	TOMATE CHERRI GOURMET 1unid
176	VAINICAS HORTI GRANEL 1 00 kg  0
177	TOMATE MALLA unid
179	BROCOLI HORTI FRESCO 1 00 kg  0
180	COLIFLOR HORTI FRESCA 1 00 unid  0
181	CEBOLLA HORTI MORADA 1 00 kg  0
182	ZANAHORIA HORTI GRANEL 1 00 kg  0
183	CHILE HORTI MUNDIAL 1 00 unid  0
184	CEBOLLA HORTI GRANEL 1 00 kg  0
185	PAPAYA HORTI GRANEL 1 00 kg  0
186	MANZANA TERRABA MIXTA 1X6 1 00 unid  0
187	UVA FRUTA INTERNACIONAL GLOBO 1 00 kg  0
188	BEBIDA BAMBOO DAIQUIRI FRESA 350 00 ml  1
190	AGUA ALPINA 0 1 00 l  0
191	ADAPTADOR HDMI A VGA X TECH
192	PATCH CORE 3FT NEXXT
193	BASE PARA CARRO
195	SANGRIA PE ASOL ORIGINAL TETRAPACK 1000 00 ml  0
196	BOLSA CHIM TELA BM L 1 00 unid
197	POLLO PIPASA MOLLEJA  1 00 kg  0
198	BEB  SMIRNOFF GREEN APPLE LATA 350 00 ml
199	REF  CANADA DRY GINGER ALE 1500 00 ml  0
200	BEB  RUDE HEALTH AVENA 1000 00 ml
201	BEB  NATURES HEART ALMENDRA VAINILLA SIN AZUCAR 10
202	HELADO DOS PINOS CREMA CHIPS 1890 00 ml  0
203	BEB  OATLY AVENA CHOCOLATE 1000 00 ml
204	SEMILLAS BEST MARK MIX S SAL FRA 907 00 g
